iter	Passed	Remaining
542	24617	2584
543	24641	2536
544	24667	2489
545	24691	2441
546	24713	2394
547	24737	2347
548	24760	2300
549	24788	2253
550	24813	2206
551	24836	2159
552	24862	2113
553	24886	2066
554	24911	2019
555	24936	1973
556	24961	1927
557	24986	1880
558	25010	1834
559	25033	1788
560	25056	1741
561	25079	1695
562	25108	1650
563	25134	1604
564	25159	1558
565	25185	1512
566	25215	1467
567	25242	1422
568	25267	1376
569	25295	1331
570	25323	1286
571	25351	1240
572	25375	1195
573	25398	1150
574	25421	1105
575	25446	1060
576	25472	1015
577	25500	970
578	25525	925
579	25550	881
580	25575	836
581	25601	791
582	25626	747
583	25651	702
584	25677	658
585	25701	614
586	25726	569
587	25748	525
588	25771	481
589	25795	437
590	25819	393
591	25844	349
592	25871	305
593	25895	261
594	25917	217
595	25941	174
596	25965	130
597	25987	86
598	26009	43
599	26034	0
